,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
156,fake-news,awm.com,https://awm.com,44,1443,American Web Media (AWM),29,MIXED,https://mediabiasfactcheck.com/american-web-media-awm/,/,https://facebook.com/awmcom,
157,center,azcapitoltimes.com,https://azcapitoltimes.com,51,177034,Arizona Capitol Times,61,HIGH,https://mediabiasfactcheck.com/arizona-capitol-times/,/,https://facebook.com/azcapitoltimes?ref,https://twitter.com/azcapitoltimes
158,pro-science,archaeology.org,https://archaeology.org,60,151111,Archaelogy Magazine,66,VERY HIGH,https://mediabiasfactcheck.com/archaeology-magazine/,/,https://facebook.com/archaeologymag,https://twitter.com/archaeologymag
159,left,antifascistnews.net,https://antifascistnews.net,37,5733,Anti-Fascist News,36,HIGH,https://mediabiasfactcheck.com/anti-fascist-news/,/,https://facebook.com/antifascistnews,https://twitter.com/antifa_news1
160,conspiracy,answersingenesis.org,https://answersingenesis.org,62,639945,Answers in Genesis,84,LOW,https://mediabiasfactcheck.com/answers-in-genesis/,/,https://facebook.com/answersingenesis,https://twitter.com/aig
161,right-center,antiwar.com,https://antiwar.com,62,657561,Anti-War,85,MIXED,https://mediabiasfactcheck.com/anti-war/,/,,https://twitter.com/antiwarcom
162,right-center,arabnews.com,https://arabnews.com,65,1115389,Arab News,87,HIGH,https://mediabiasfactcheck.com/arab-news/,/,https://facebook.com/thearabnews,https://twitter.com/arab_news
163,left-center,anthropocenemagazine.org,https://anthropocenemagazine.org,42,22619,Anthropocene Magazine,47,HIGH,https://mediabiasfactcheck.com/conservation-magazine/,/,https://facebook.com/anthromag,https://twitter.com/anthropocenemag
164,conspiracy,anonews.co,https://anonews.co,47,16864,Anonymous,44,LOW,https://mediabiasfactcheck.com/anonymous/,/,https://facebook.com/anonews.co,
165,left-center,aranews.net,https://aranews.net,45,43805,Ara News,40,HIGH,https://mediabiasfactcheck.com/ara-news/,/,,
166,left-center,apmreports.org,https://apmreports.org,46,4054,APM Reports,34,HIGH,https://mediabiasfactcheck.com/apm-reports/,/,https://facebook.com/apmreports,
167,left-center,aol.com,https://aol.com,79,30319399,AOL,100,HIGH,https://mediabiasfactcheck.com/aol/,/,,
168,conspiracy,ae911truth.org,https://ae911truth.org,61,511986,Architects & Engineers for 9/11 Truth,83,MIXED,https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/,/,https://facebook.com/ae911truth,
169,left-center,adl.org,https://adl.org,65,1408540,Anti-Defamation League (ADL),73,HIGH,https://mediabiasfactcheck.com/anti-defamation-league/,/,https://facebook.com/anti.defamation.league,https://twitter.com/adl
170,left-center,annistonstar.com,https://annistonstar.com,55,41995,Anniston Star,54,HIGH,https://mediabiasfactcheck.com/anniston-star/,/,https://facebook.com/annistonstar,https://twitter.com/annistonstar
171,right-center,arkansasonline.com,https://arkansasonline.com,60,1518710,Arkansas Democrat-Gazette,80,HIGH,https://mediabiasfactcheck.com/arkansas-democrat-gazette/,/,,
172,conspiracy,asia-pacificresearch.com,https://asia-pacificresearch.com,37,376420,Asia-Pacific Research,80,MIXED,https://mediabiasfactcheck.com/asia-pacific-research/,/,https://facebook.com/globalresearchcrg,https://twitter.com/crg_crm
173,right,arizonadailyindependent.com,https://arizonadailyindependent.com,44,416398,Arizona Daily Independent,79,MIXED,https://mediabiasfactcheck.com/arizona-daily-independent/,/,,
174,satire,asamericanasapplepie.org,https://asamericanasapplepie.org,23,26,As American as Apple Pie,17,SATIRE,https://mediabiasfactcheck.com/american-apple-pie/,/,,
175,center,apnews.com,https://apnews.com,65,5778215,Associated Press,98,VERY HIGH,https://mediabiasfactcheck.com/associated-press/,/,https://facebook.com/apnews,https://twitter.com/ap
176,left-center,azcentral.com,https://azcentral.com,69,5965192,Arizona Republic,97,HIGH,https://mediabiasfactcheck.com/arizona-republic/,/,https://facebook.com/azcentral,https://twitter.com/azcentral
177,left-center,citizen-times.com,https://citizen-times.com,59,1266496,Asheville Citizen-Times,55,HIGH,https://mediabiasfactcheck.com/asheville-citizen-times/,/,https://facebook.com/avlcitizentimes?v,https://twitter.com/asheville
178,right,aina.org,https://aina.org,55,79674,Assyrian International News Agency,61,MIXED,https://mediabiasfactcheck.com/assyrian-international-news-agency/,/,,
179,center,atimes.com,https://atimes.com,65,2716978,Asia Times,95,HIGH,https://mediabiasfactcheck.com/asia-times/,/,https://facebook.com/asiatimesonline,
180,left-center,asiancorrespondent.com,https://asiancorrespondent.com,54,190266,Asian Correspondent,60,HIGH,https://mediabiasfactcheck.com/asian-correspondent/,/,https://facebook.com/asiancorrespondent,https://twitter.com/ascorrespondent
181,right,armstrongeconomics.com,https://armstrongeconomics.com,54,164069,Armstrong Economics,68,MIXED,https://mediabiasfactcheck.com/armstrong-economics/,/,https://facebook.com/martin.armstrong.167,https://twitter.com/strongeconomics
182,left-center,arktimes.com,https://arktimes.com,57,23531,Arkansas Times,45,HIGH,https://mediabiasfactcheck.com/arkansas-times/,/,https://facebook.com/arkansastimes,https://twitter.com/arktimes
183,right-center,aninews.in,https://aninews.in,56,275786,Asian News International,67,MOSTLY FACTUAL,https://mediabiasfactcheck.com/asian-news-international-ani/,/,https://facebook.com/aninews.in,https://twitter.com/ani
184,left-center,tucson.com,https://tucson.com,57,1758081,Arizona Daily Star,90,HIGH,https://mediabiasfactcheck.com/arizona-daily-star/,/,https://facebook.com/arizonadailystar,https://twitter.com/tucsonstar
185,conspiracy,assassinationscience.com,https://assassinationscience.com,42,586,Assassination Science,27,LOW,https://mediabiasfactcheck.com/assassination-science/,/,,
186,right-center,israelnationalnews.com,https://israelnationalnews.com,64,1632706,Arutz Sheva (Israel National News),89,HIGH,https://mediabiasfactcheck.com/arutz-sheva-israel-national-news/,/,https://facebook.com/israelnationalnews,https://twitter.com/arutzsheva_en
187,left-center,azdailysun.com,https://azdailysun.com,53,58255,Arizona Daily Sun,57,HIGH,https://mediabiasfactcheck.com/arizona-daily-sun/,/,https://facebook.com/arizonadailysun,https://twitter.com/azds
188,center,arstechnica.com,https://arstechnica.com,72,4374188,Ars Technica,93,HIGH,https://mediabiasfactcheck.com/ars-technica/,/,https://facebook.com/arstechnica,https://twitter.com/arstechnica
189,pro-science,autisticadvocacy.org,https://autisticadvocacy.org,52,23861,Autistic Self Advocacy Network (ASAN),47,VERY HIGH,https://mediabiasfactcheck.com/autistic-self-advocacy-network/,/,,
190,center,afr.com,https://afr.com,64,3438778,The Australian Finacial Review,95,HIGH,https://mediabiasfactcheck.com/the-australian-financial-review/,/,https://facebook.com/financialreview,https://twitter.com/financialreview
191,left-center,attn.com,https://attn.com,52,6935,ATTN:,37,HIGH,https://mediabiasfactcheck.com/attn/,/,https://facebook.com/attn,https://twitter.com/attn
192,left-center,ajc.com,https://ajc.com,69,6171691,Atlanta Journal-Constitution,92,HIGH,https://mediabiasfactcheck.com/atlanta-journal-constitution/,/,https://facebook.com/ajc,https://twitter.com/ajc
193,satire,babylonbee.com,https://babylonbee.com,53,264501,Babylon Bee,76,SATIRE,https://mediabiasfactcheck.com/babylon-bee/,/,https://facebook.com/thebabylonbee,https://twitter.com/thebabylonbee
194,left,autostraddle.com,https://autostraddle.com,59,293612,AutoStraddle,72,HIGH,https://mediabiasfactcheck.com/autostraddle/,/,https://facebook.com/autostraddle,https://twitter.com/autostraddle
195,left-center,atlanticcouncil.org,https://atlanticcouncil.org,59,191038,Atlantic Council,68,HIGH,https://mediabiasfactcheck.com/atlantic-council/,/,https://facebook.com/atlanticcouncil,
196,conspiracy,australiannationalreview.com,https://australiannationalreview.com,35,169,Australian National Review,23,LOW,https://mediabiasfactcheck.com/australian-national-review/,/,https://facebook.com/australiannationalreview,
197,left-center,atlantablackstar.com,https://atlantablackstar.com,56,243450,Atlanta Black Star,61,HIGH,https://mediabiasfactcheck.com/atlanta-black-star/,/,https://facebook.com/atlblackstar,
198,pro-science,astronomy.com,https://astronomy.com,61,442683,Astronomy Magazine,81,VERY HIGH,https://mediabiasfactcheck.com/astronomy-magazine/,/,https://facebook.com/astronomymagazine,
199,conspiracy,awarenessact.com,https://awarenessact.com,46,65784,Awareness Act,32,LOW,https://mediabiasfactcheck.com/awareness-act/,/,https://facebook.com/awarenessactcom,https://twitter.com/awarenessactcom
200,left-center,axios.com,https://axios.com,62,389083,Axios,78,HIGH,https://mediabiasfactcheck.com/axios/,/,https://facebook.com/calfire,https://twitter.com/axios
201,left-center,atlanticmedia.com,https://atlanticmedia.com,42,5117,Atlantic Media,36,HIGH,https://mediabiasfactcheck.com/atlantic-media/,/,,
202,left-center,magazine.atavist.com,https://magazine.atavist.com,54,2857,Atavist Magazine,31,VERY HIGH,https://mediabiasfactcheck.com/atavist-magazine/,/,,https://twitter.com/atavist
203,right,axiomnewsnetwork.com,https://axiomnewsnetwork.com,18,12,Axiom News Network,15,MIXED,https://mediabiasfactcheck.com/axiom-news-network/,/,https://facebook.com/axiom,
204,satire,atomicmonkey.wordpress.com,https://atomicmonkey.wordpress.com,17,44,Atomic Monkey,21,SATIRE,https://mediabiasfactcheck.com/atomic-monkey/,/,,
205,pro-science,skeptics.com.au,https://skeptics.com.au,48,63696,Australian Skeptics Inc.,58,HIGH,https://mediabiasfactcheck.com/australian-skeptics-inc/,/,https://facebook.com/australianskepticsinc,https://twitter.com/austskeptics
206,conspiracy,autismspeaks.org,https://autismspeaks.org,68,2112955,Autism Speaks,90,MOSTLY FACTUAL,https://mediabiasfactcheck.com/autism-speaks/,/,https://facebook.com/autismspeaks,https://twitter.com/autismspeaks
207,left-center,statesman.com,https://statesman.com,65,2303784,Austin American-Statesman,87,HIGH,https://mediabiasfactcheck.com/austin-american-statesman/,/,https://facebook.com/statesman,https://twitter.com/statesman
208,left-center,baptistnews.com,https://baptistnews.com,45,17619,Baptist News Global,45,HIGH,https://mediabiasfactcheck.com/baptist-news-global/,/,https://facebook.com/bngbaptistnews,
209,fake-news,bb4sp.com,https://bb4sp.com,37,64163,BB4SP,59,LOW,https://mediabiasfactcheck.com/bb4sp/,/,https://facebook.com/barracudabrigade,https://twitter.com/barracudamama
210,left-center,bangordailynews.com,https://bangordailynews.com,59,514713,Bangor Daily News,68,HIGH,https://mediabiasfactcheck.com/bangor-daily-news/,/,https://facebook.com/bangordailynews,
211,center,baxterbulletin.com,https://baxterbulletin.com,53,481326,Baxter Bulletin,41,HIGH,https://mediabiasfactcheck.com/the-baxter-bulletin/,/,https://facebook.com/bulletin.newsroom,https://twitter.com/bbnewsroom
212,left-center,backchannel.com,https://backchannel.com,48,6070,BackChannel,37,HIGH,https://mediabiasfactcheck.com/backchannel/,/,https://facebook.com/backchnnl,https://twitter.com/markrobsf
213,left-center,balkaninsight.com,https://balkaninsight.com,51,99944,Balkan Insight,63,HIGH,https://mediabiasfactcheck.com/balkan-insight/,/,https://facebook.com/balkaninsight,https://twitter.com/balkaninsight
214,left,baltimoresun.com,https://baltimoresun.com/citypaper/,41,1,Baltimore City Paper,0,MIXED,https://mediabiasfactcheck.com/baltimore-city-paper/,/citypaper/,https://facebook.com/baltimorecitypaper,
215,left,ebar.com,https://ebar.com,54,48083,Bay Area Reporter,52,HIGH,https://mediabiasfactcheck.com/bay-area-reporter/,/,https://facebook.com/bayareareporter,https://twitter.com/ebarnews
216,fake-news,beaware.one,https://beaware.one,17,281,BeAware,11,LOW,https://mediabiasfactcheck.com/beaware/,/,,
217,left-center,battlecreekenquirer.com,https://battlecreekenquirer.com,55,717498,Battle Creek Enquirer,51,HIGH,https://mediabiasfactcheck.com/battle-creek-enquirer/,/,https://facebook.com/battlecreekenquirer,
218,fake-news,barenakedislam.com,https://barenakedislam.com,54,131596,Bare Naked Islam,67,LOW,https://mediabiasfactcheck.com/bare-naked-islam/,/,,https://twitter.com/barenakedislam
219,right,bearingarms.com,https://bearingarms.com,52,1094914,Bearing Arms,89,MIXED,https://mediabiasfactcheck.com/bearing-arms/,/,https://facebook.com/2ndamendmentsupporters,https://twitter.com/bearingarmscom
220,center,ballotpedia.org,https://ballotpedia.org,58,57765,Ballotpedia,57,VERY HIGH,https://mediabiasfactcheck.com/ballotpedia/,/,https://facebook.com/ballotpedia,
221,fake-news,bannedinformation.com,https://bannedinformation.com,23,3033,Banned Information,15,MIXED,https://mediabiasfactcheck.com/banned-information/,/,,
222,center,en.bbarta24.net,https://en.bbarta24.net,29,306319,Bbarta24,72,HIGH,https://mediabiasfactcheck.com/bbarta24/,/,https://facebook.com/bbarta24.net,https://twitter.com/bbarta24info
223,left-center,bbc.com,https://bbc.com,78,13112113,BBC News,99,HIGH,https://mediabiasfactcheck.com/bbc/,/,https://facebook.com/bbcnews,
224,center,bangkokpost.com,https://bangkokpost.com,66,4071416,Bangkok Post,93,HIGH,https://mediabiasfactcheck.com/the-bangkok-post/,/,https://facebook.com/bangkokpost,https://twitter.com/bangkokpostnews
225,conspiracy,biggovernment.news,https://biggovernment.news,36,720,Big Government News,27,VERY LOW,https://mediabiasfactcheck.com/big-government-news/,/,,
226,right-center,beinglibertarian.com,https://beinglibertarian.com,41,15712,Being Libertarian,40,MOSTLY FACTUAL,https://mediabiasfactcheck.com/being-libertarian/,/,https://www.facebook.com/share,https://twitter.com/beinlibertarian
227,center,bignewsnetwork.com,https://bignewsnetwork.com,55,4003381,Big News Network,72,MOSTLY FACTUAL,https://mediabiasfactcheck.com/big-news-network/,/,https://facebook.com/bignewsnetwork,
228,fake-news,beforeitsnews.com,https://beforeitsnews.com,62,1359556,Before It's News,82,LOW,https://mediabiasfactcheck.com/before-its-news/,/,,
229,center,bnd.com,https://bnd.com,56,1336994,Belleville News-Democrat,63,HIGH,https://mediabiasfactcheck.com/belleville-news-democrat/,/,https://facebook.com/bellevillend,
230,fake-news,facebook.com,https://https://www.facebook.com/conservativepoliticstoday/,64,4,Conservative Politics Today,11,LOW,https://mediabiasfactcheck.com/conservative-politics-today/,/conservativepoliticstoday/,,
231,center,belfercenter.org,https://belfercenter.org,49,396514,Belfer Center for Science and International Affairs,72,VERY HIGH,https://mediabiasfactcheck.com/the-belfer-center-for-science-and-international-affairs/,/,https://facebook.com/belfercenter,https://twitter.com/belfercenter
232,right,beliefnet.com,https://beliefnet.com,65,1870071,Beliefnet,78,MIXED,https://mediabiasfactcheck.com/beliefnet/,/,,https://twitter.com/beliefnet
233,fake-news,bigleaguepolitics.com,https://bigleaguepolitics.com,49,219813,Big League Politics,73,MIXED,https://mediabiasfactcheck.com/big-league-politics/,/,https://facebook.com/bigleaguepolitics,https://twitter.com/bigleaguepol
234,fake-news,bigbluevision.org,https://bigbluevision.org,20,11,Big Blue Vision,15,LOW,https://mediabiasfactcheck.com/big-blue-vision/,/,,
235,conspiracy,beholdisrael.org,https://beholdisrael.org,40,10223,Behold Israel,39,MIXED,https://mediabiasfactcheck.com/behold-israel/,/,https://facebook.com/beholdisrael,https://twitter.com/beholdisrael
236,satire,bigamericannews.com,https://bigamericannews.com,31,2377,Big American News,27,SATIRE,https://mediabiasfactcheck.com/big-american-news/,/,https://facebook.com/bigamericannews,
237,left-center,billmoyers.com,https://billmoyers.com,57,223209,BillMoyers.com,71,HIGH,https://mediabiasfactcheck.com/billmoyers-com/,/,https://facebook.com/moyersandcompany,https://twitter.com/billmoyers
238,center,bettergov.org,https://bettergov.org,48,19584,Better Government Association,44,HIGH,https://mediabiasfactcheck.com/better-government-association/,/,https://facebook.com/bettergov,https://twitter.com/bettergov
